id,Tweet,author,language,url,Fecha,
1.02599708835239E+018,"RT @jgnaredo: Dice @jorgeramosnews que @lopezobrador_ comienza a “traicionar” a sus votantes por haber nombrado a Bartlett en la CFE.

Duda…",natasha0key,,https://twitter.com/natasha0key/status/1025997088352391168,Sun Aug 05 06:49:02 +0000 2018,
1.02599707467477E+018,@miffim @Aeromexico @lopezobrador_ Nadie ha dicho que no sea necesario un nuevo aeropuerto. El asunto es que el sit… https://t.co/ADBtwNdjFM,HECTORLUNASILVA,,https://twitter.com/HECTORLUNASILVA/status/1025997074674769920,Sun Aug 05 06:48:59 +0000 2018,
1.0259971332107E+018,"RT @DiegoPetersen: Llámenlo como quieran, pero el triunfo de @lopezobrador_ ha metido al país a discutir cosas que antes parecían inamovibl…",losmiserables8,,https://twitter.com/losmiserables8/status/1025997133210701825,Sun Aug 05 06:49:13 +0000 2018,
1.02599710046977E+018,"RT @multitud666: esta cuenta falsa, no es de #LópezObrador ABUSADO mexicano la cuenta de LópezObrador es está @lopezobrador_ https://t.co/o…",JoseCastroVaca1,,https://twitter.com/JoseCastroVaca1/status/1025997100469768193,Sun Aug 05 06:49:05 +0000 2018,
1.02599715361173E+018,@lopezobrador_ VA A PASAR ALA HISTORIA COMO EL PRESIDENTE QUE ENGAŃO Y LES LAVO LA CABEZA A MEDIO MEXICO DICIENDO Q… https://t.co/53P2DNC8EB,Marry67815031,,https://twitter.com/Marry67815031/status/1025997153611730944,Sun Aug 05 06:49:18 +0000 2018,
1.02599713590763E+018,RT @RosaManilla: @Rogelio20176735 @MAHP1804 @ssamtaoying @LucioValerio1 @martinzhers123 @chioreya @PoetaCaminate @Patrici10041368 @Maclovia…,Marpfa,,https://twitter.com/Marpfa/status/1025997135907631104,Sun Aug 05 06:49:13 +0000 2018,
1.02599718633149E+018,"RT @Eltiotonysoy: La reunión de  AMLO con José Antonio Meade es normal... el Lic. Andrés Manuel @lopezobrador_ es político y hace política,…",irving_valle,,https://twitter.com/irving_valle/status/1025997186331488256,Sun Aug 05 06:49:25 +0000 2018,
1.02599717516625E+018,"RT @TamaulipasI: #VIDEO Al carecer México de banca nacional, @AlfredoJalifeR_ afirma sería necesario para gobierno de @lopezobrador_ tener…",cucano2,,https://twitter.com/cucano2/status/1025997175166251008,Sun Aug 05 06:49:23 +0000 2018,
1.02599721590141E+018,RT @RosaManilla: @ssamtaoying @chioreya @hitucomolaveis @arbolitodechoco @Patrici10041368 @RoanaBuenavent1 @lefjohnny @Jlperezacevedo @MAHP…,Marpfa,,https://twitter.com/Marpfa/status/1025997215901405184,Sun Aug 05 06:49:33 +0000 2018,
1.02599725990782E+018,RT @PartidoMorenaMx: .@lopezobrador_ presentó las acciones principales para mejorar los servicios de salud https://t.co/N5oGanLRs8,koxalok,,https://twitter.com/koxalok/status/1025997259907817473,Sun Aug 05 06:49:43 +0000 2018,
1.0259972450098E+018,"RT @DefiendoMiiVoto: Para mi es un entrevistador interesante, creo que puede mejorar mucho, pero hasta ahí.
De ahí a que pueda influir en m…",armando_ds,,https://twitter.com/armando_ds/status/1025997245009801216,Sun Aug 05 06:49:39 +0000 2018,
1.02599725998347E+018,RT @DivinoTormento9: El único cambio que va a haber es el cambio de nombre de Morena a PRIeta. 😉 Buen día Amlovers espero sus maromas para…,SSANCTTIC,,https://twitter.com/SSANCTTIC/status/1025997259983466496,Sun Aug 05 06:49:43 +0000 2018,
1.02599726118724E+018,RT @RosaManilla: @ssamtaoying @chioreya @hitucomolaveis @arbolitodechoco @Patrici10041368 @RoanaBuenavent1 @lefjohnny @Jlperezacevedo @MAHP…,Marpfa,,https://twitter.com/Marpfa/status/1025997261187239937,Sun Aug 05 06:49:43 +0000 2018,
1.02599732091816E+018,"@lopezobrador_ Hay que parar la maldita diabetes ,",JoespoolsJose,,https://twitter.com/JoespoolsJose/status/1025997320918163456,Sun Aug 05 06:49:58 +0000 2018,
1.02599729095002E+018,"RT @epigmenioibarra: No toca a @lopezobrador_ actuar contra corruptos,no debe el presidente hacer -como en el pasado- que fiscales y jueces…",Valeria16113730,,https://twitter.com/Valeria16113730/status/1025997290950017024,Sun Aug 05 06:49:50 +0000 2018,
1.02599737446707E+018,Booooom amlobitches,curuleros,,https://twitter.com/curuleros/status/1025997374467067904,Sun Aug 05 06:50:10 +0000 2018,
1.02599736083139E+018,"RT @rocionahle: El triunfo que se le dio a @lopezobrador_  y a #Morena es precisamente para un cambio de administración, un cambio de régim…",Navegaciones,,https://twitter.com/Navegaciones/status/1025997360831389697,Sun Aug 05 06:50:07 +0000 2018,
1.02599735987928E+018,"RT @MarianaDiazLuna: Se me ocurre preguntar si tú en lugar de venderte como un disque ""periodista"" hubieras sido... lo que eres, un Don nad…",gloria_colion,,https://twitter.com/gloria_colion/status/1025997359879278592,Sun Aug 05 06:50:07 +0000 2018,
1.02599745648662E+018,"AMLO es mi pastor, nada me faltara",_lachio,,https://twitter.com/_lachio/status/1025997456486621184,Sun Aug 05 06:50:30 +0000 2018,
1.0259974746186E+018,"Señor @lopezobrador_  ahora que va a mover a las dependencias a distintos lugares de la República, no podrá mandar al @SATMX a la chingada?",LUJABASURTO,,https://twitter.com/LUJABASURTO/status/1025997474618597377,Sun Aug 05 06:50:34 +0000 2018,
1.02599746681706E+018,"RT @nestora_salgado: En la #reconciliación caben las disculpas públicas por difamaciones, calumnias, ofensas y un largo etc. También su rec…",JoseCastroVaca1,,https://twitter.com/JoseCastroVaca1/status/1025997466817056769,Sun Aug 05 06:50:32 +0000 2018,
1.02599751462391E+018,"RT @lopezobrador_: Continuamos con el trabajo de campo para iniciar, desde el 1 de diciembre, el programa de siembra de un millón de hectár…",zpramon,,https://twitter.com/zpramon/status/1025997514623905793,Sun Aug 05 06:50:44 +0000 2018,
1.02599751132279E+018,RT @RosaManilla: @ssamtaoying @chioreya @hitucomolaveis @arbolitodechoco @Patrici10041368 @RoanaBuenavent1 @lefjohnny @Jlperezacevedo @MAHP…,martha59675693,,https://twitter.com/martha59675693/status/1025997511322791938,Sun Aug 05 06:50:43 +0000 2018,
1.02599758097356E+018,RT @BigDataTalks: #MEXICO así recibieron la distribución del poder estatal los últimos presidentes y así lo recibirá @lopezobrador_ (se inc…,isr_1991,,https://twitter.com/isr_1991/status/1025997580973563904,Sun Aug 05 06:51:00 +0000 2018,
1.02599757366713E+018,¿Se acabo la fiesta del cambio en México? @lopezobrador_ el pueblo no te eligió para continuar con lo mismo de siem… https://t.co/ZRrUvsDS6e,ZENCLA,,https://twitter.com/ZENCLA/status/1025997573667127296,Sun Aug 05 06:50:58 +0000 2018,
1.02599760986392E+018,"RT @xagovi1958: Definitivamente creo que @lopezobrador_  debe auditar a @EPN por este y otros rubros? 
@tatclouthier,  como vocera de AMLO…",luisvillalva,,https://twitter.com/luisvillalva/status/1025997609863921664,Sun Aug 05 06:51:06 +0000 2018,
1.02599761126487E+018,"RT @lopezobrador_: Continuamos con el trabajo de campo para iniciar, desde el 1 de diciembre, el programa de siembra de un millón de hectár…",Lobointhedesert,,https://twitter.com/Lobointhedesert/status/1025997611264868352,Sun Aug 05 06:51:07 +0000 2018,
1.02599764201331E+018,Tuitazoooo!,LaMujerDeAbel,,https://twitter.com/LaMujerDeAbel/status/1025997642013306880,Sun Aug 05 06:51:14 +0000 2018,
1.02599763171632E+018,"RT @jorgesuarezv: Mensaje para @lopezobrador_ : preocúpate de pobreza, desarrollo económico, seguridad y Estado de derecho. De mi alma me o…",HumbertoBeni20,,https://twitter.com/HumbertoBeni20/status/1025997631716319233,Sun Aug 05 06:51:12 +0000 2018,
1.02599763119622E+018,RT @RosaManilla: @ssamtaoying @chioreya @hitucomolaveis @arbolitodechoco @Patrici10041368 @RoanaBuenavent1 @lefjohnny @Jlperezacevedo @MAHP…,Marpfa,,https://twitter.com/Marpfa/status/1025997631196221440,Sun Aug 05 06:51:12 +0000 2018,
1.02599765332956E+018,"RT @lopezobrador_: Continuamos con el trabajo de campo para iniciar, desde el 1 de diciembre, el programa de siembra de un millón de hectár…",Navegaciones,,https://twitter.com/Navegaciones/status/1025997653329563648,Sun Aug 05 06:51:17 +0000 2018,
